/work3/soeba/HALOS/halos/lib/python3.8/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
/work3/soeba/HALOS/halos/lib/python3.8/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Training Epoch 1
Epoch 1, batch no. 10, gen. loss: nan, disc. loss: 0.39913293719291687
Epoch 1, batch no. 410, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 420, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 430, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 440, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 450, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 460, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 470, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 480, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 490, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 500, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 510, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 520, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 530, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 540, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 550, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 560, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 570, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 580, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 590, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 600, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 610, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 620, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 630, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 640, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 650, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 660, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 670, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 680, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 690, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 700, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 710, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 720, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 730, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 740, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 750, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 760, gen. loss: nan, disc. loss: nan
Testing Epoch 1
Discriminator training/validation loss in epoch 1/1 was nan/nan
Generator GAN training/validation loss in epoch 1/1 was nan/nan
Average PSNR of validation set in epoch 1/1 was 7.8873
Average SSIM of validation set in epoch 1/1 was -0.0097
Average discriminator guess on reals in epoch 1/1 was nan
Average discriminator guess on fakes in epoch 1/1 was nan
