/work3/soeba/HALOS/halos/lib/python3.8/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
/work3/soeba/HALOS/halos/lib/python3.8/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Training Epoch 1
Epoch 1, batch no. 10, gen. loss: 0.0006124333594925702, disc. loss: nan
Epoch 1, batch no. 830, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 840, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 850, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 860, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 870, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 880, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 890, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 900, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 910, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 920, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 930, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 940, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 950, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 960, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 970, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 980, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 990, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 1000, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 1010, gen. loss: nan, disc. loss: nan
Testing Epoch 1
Discriminator training/validation loss in epoch 1/1 was nan/nan
Generator GAN training/validation loss in epoch 1/1 was nan/nan
Average PSNR of validation set in epoch 1/1 was 7.8946
Average SSIM of validation set in epoch 1/1 was 0.0498
Average discriminator guess on reals in epoch 1/1 was nan
Average discriminator guess on fakes in epoch 1/1 was nan
